salary,start,end,supplements,breaks,id,employeeId,employeeGroupId,date,salaryCode,wage,shiftDuration,departmentId,positionId,shiftTypeId
96.95,2026-01-19T14:00:00,2026-01-19T21:00:00,[],[],16017847,248025,141399,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,55297,,
153.75,2026-01-19T11:10:00,2026-01-19T21:25:00,[],[],16017846,247098,141403,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:10:15,55297,,
0.0,2026-01-19T07:00:00,2026-01-19T15:00:00,[],[],16017845,263481,141853,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55297,,
0.0,2026-01-19T11:00:00,2026-01-19T21:30:00,[],[],16017883,251262,141853,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:10:30,55297,,
0.0,2026-01-19T09:00:00,2026-01-19T18:00:00,[],[],16017772,247145,141397,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,83216.0,
0.0,2026-01-19T10:00:00,2026-01-19T18:00:00,[],[],16017774,247669,141398,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,54896,85099.0,
113.10833333333323,2026-01-19T12:00:00,2026-01-19T20:10:00,[],[],16017573,247087,141399,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:10,54896,83046.0,
124.65,2026-01-19T15:00:00,2026-01-20T00:00:00,[],[],16017574,247119,141399,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:09:00,54896,83046.0,
96.95,2026-01-19T17:00:00,2026-01-20T00:00:00,[],[],16017575,248254,141399,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,83046.0,
83.1,2026-01-19T18:00:00,2026-01-20T00:00:00,[],[],16017577,247118,141399,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83046.0,
110.8,2026-01-19T15:00:00,2026-01-19T23:00:00,[],[],16017636,265022,141400,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,,
103.875,2026-01-19T12:30:00,2026-01-19T20:00:00,[],[],16017658,247130,141400,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:30,54896,83215.0,
83.1,2026-01-19T17:00:00,2026-01-19T23:00:00,[],[],16017666,265754,141400,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83215.0,
96.95,2026-01-19T11:00:00,2026-01-19T18:00:00,[],[],16017675,247115,141400,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,83215.0,
83.1,2026-01-19T17:00:00,2026-01-19T23:00:00,[],[],16017830,265759,141400,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83215.0,
96.95,2026-01-19T16:00:00,2026-01-19T23:00:00,[],[],16017917,249006,141401,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,82067.0,
90.025,2026-01-19T11:00:00,2026-01-19T17:30:00,[],[],16017964,247096,141401,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:30,54896,82067.0,
96.95,2026-01-19T16:00:00,2026-01-19T23:00:00,[],[],16017966,249060,141401,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,82067.0,
69.25,2026-01-19T18:00:00,2026-01-19T23:00:00,[],[],16017967,247102,141401,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:05:00,54896,82067.0,
117.725,2026-01-19T12:35:00,2026-01-19T21:05:00,[],[],16017903,247125,141402,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:30,54896,83223.0,
135.0,2026-01-19T08:00:00,2026-01-19T17:00:00,[],[],16017770,265774,141403,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:09:00,54896,82065.0,
120.0,2026-01-19T15:00:00,2026-01-19T23:00:00,[],[],16017776,265630,141403,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,54896,82065.0,
98.10416666666661,2026-01-19T08:00:00,2026-01-19T15:05:00,[],[],16017911,249007,141406,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:05,54896,82066.0,
110.8,2026-01-19T15:00:00,2026-01-19T23:00:00,[],[],16017965,247076,141406,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,82066.0,
111.95416666666677,2026-01-19T08:00:00,2026-01-19T16:05:00,[],[],16018043,247117,141406,2026-01-19,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:05,54896,82066.0,
120.0,2026-01-19T11:00:00,2026-01-19T19:00:00,[],[],16017642,247140,141407,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,54896,83221.0,
0.0,2026-01-19T12:00:00,2026-01-19T20:00:00,[],[],16017775,248506,141413,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,54896,83219.0,
113.6,2026-01-19T11:00:00,2026-01-19T19:00:00,[],[],16017912,247091,141415,2026-01-19,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:08:00,54896,83222.0,
7.5,2026-01-19T15:00:00,2026-01-19T15:30:00,[],[],16018362,247075,141416,2026-01-19,Training/ Off Site,"{'rate': 15.0, 'type': 'Hourly'}",0:00:30,54896,83220.0,494010.0
112.0,2026-01-19T10:00:00,2026-01-19T17:00:00,[],[],16017773,247105,141417,2026-01-19,1201,"{'rate': 16.0, 'type': 'Hourly'}",0:07:00,54896,,
101.76666666666671,2026-01-19T11:00:00,2026-01-19T18:10:00,[],[],16017572,247139,141569,2026-01-19,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:07:10,54896,83224.0,
99.4,2026-01-19T17:00:00,2026-01-20T00:00:00,[],[],16017576,247067,141569,2026-01-19,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:07:00,54896,83224.0,
144.0,2026-01-19T09:00:00,2026-01-19T18:00:00,[],[],16017771,247097,142270,2026-01-19,1201,"{'rate': 16.0, 'type': 'Hourly'}",0:09:00,54896,,
0.0,2026-01-19T10:00:00,2026-01-19T18:00:00,[],[],16016695,247003,141397,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,54895,,
0.0,2026-01-19T10:00:00,2026-01-19T18:00:00,[],[],16016696,263444,141398,2026-01-19,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,54895,,
90.0,2026-01-19T10:00:00,2026-01-19T16:00:00,[],[],16016698,263405,141403,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:06:00,54895,,
126.2499999999999,2026-01-19T15:30:00,2026-01-19T23:55:00,[],[],16016693,265782,141418,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:25,54895,,
118.5,2026-01-19T16:00:00,2026-01-19T23:54:00,[],[],16017294,265746,141418,2026-01-19,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:07:54,54895,,
