salary,start,end,supplements,breaks,id,employeeId,employeeGroupId,date,salaryCode,wage,shiftDuration,departmentId,shiftTypeId,positionId
103.875,2026-02-02T14:00:00,2026-02-02T21:30:00,[],[],16018866,248022,141399,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:30,55297,,
131.575,2026-02-02T11:00:00,2026-02-02T20:30:00,[],[],16018845,249590,141401,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:09:30,55297,,
165.0,2026-02-02T08:00:00,2026-02-02T19:00:00,[],[],16018816,247098,141403,2026-02-02,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:11:00,55297,,
157.5,2026-02-02T11:00:00,2026-02-02T21:30:00,[],[],16018817,265783,141418,2026-02-02,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:10:30,55297,,
0.0,2026-02-02T09:30:00,2026-02-02T18:00:00,[],[],16018862,251262,141853,2026-02-02,Training/ Off Site,"{'rate': 0.0, 'type': 'Hourly'}",0:08:30,55297,494010.0,
0.0,2026-02-02T09:30:00,2026-02-02T18:00:00,[],[],16018863,263481,141853,2026-02-02,Training/ Off Site,"{'rate': 0.0, 'type': 'Hourly'}",0:08:30,55297,494010.0,
0.0,2026-02-02T09:00:00,2026-02-02T17:00:00,[],[],16018944,265751,141844,2026-02-02,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55301,,
0.0,2026-02-02T09:00:00,2026-02-02T18:00:00,[],[],16018478,262321,141397,2026-02-02,Training/ Off Site,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,494010.0,
0.0,2026-02-02T12:00:00,2026-02-02T19:00:00,[],[],16018722,247669,141398,2026-02-02,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:07:00,54896,,
95.79583333333338,2026-02-02T13:05:00,2026-02-02T20:00:00,[],[],16018870,247136,141399,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:55,54896,,83046.0
124.65,2026-02-02T15:00:00,2026-02-03T00:00:00,[],[],16018871,247119,141399,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:09:00,54896,,83046.0
110.8,2026-02-02T16:00:00,2026-02-03T00:00:00,[],[],16018872,248037,141399,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,,83046.0
83.1,2026-02-02T18:00:00,2026-02-03T00:00:00,[],[],16018874,248025,141399,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,,83046.0
83.1,2026-02-02T18:00:00,2026-02-03T00:00:00,[],[],16018905,248254,141399,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,,
114.2625,2026-02-02T15:00:00,2026-02-02T23:15:00,[],[],16018595,247129,141400,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:15,54896,,
103.875,2026-02-02T12:30:00,2026-02-02T20:00:00,[],[],16018596,247130,141400,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:30,54896,,
85.40833333333337,2026-02-02T17:00:00,2026-02-02T23:10:00,[],[],16018600,247131,141400,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:10,54896,,
85.40833333333337,2026-02-02T17:05:00,2026-02-02T23:15:00,[],[],16018610,265754,141400,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:10,54896,,
152.35,2026-02-02T11:00:00,2026-02-02T22:00:00,[],[],16019164,265022,141400,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:11:00,54896,,
81.94583333333338,2026-02-02T11:05:00,2026-02-02T17:00:00,[],[],16018739,247096,141401,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:05:55,54896,,
96.95,2026-02-02T11:00:00,2026-02-02T18:00:00,[],[],16018740,249006,141401,2026-02-02,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,
