salary,start,end,supplements,breaks,id,employeeId,employeeGroupId,date,salaryCode,wage,shiftDuration,departmentId,shiftTypeId,positionId
131.575,2026-02-05T11:00:00,2026-02-05T20:30:00,[],[],16018868,248015,141405,2026-02-05,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:09:30,55297,,
113.6,2026-02-05T12:00:00,2026-02-05T20:00:00,[],[],16018853,265779,141407,2026-02-05,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:08:00,55297,,
143.7500000000001,2026-02-05T11:00:00,2026-02-05T20:35:00,[],[],16018847,247134,141418,2026-02-05,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:09:35,55297,,
0.0,2026-02-05T15:00:00,2026-02-05T17:00:00,[],[],16018834,251262,141853,2026-02-05,Training/ Off Site,"{'rate': 0.0, 'type': 'Hourly'}",0:02:00,55297,494010.0,
0.0,2026-02-05T09:00:00,2026-02-05T17:00:00,[],[],16018906,263481,141853,2026-02-05,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55297,,
22.05,2026-02-05T12:30:00,2026-02-05T14:15:00,[],[],16019170,265796,141401,2026-02-05,1201,"{'rate': 12.6, 'type': 'Hourly'}",0:01:45,55301,,
22.05,2026-02-05T12:30:00,2026-02-05T14:15:00,[],[],16019171,265797,141401,2026-02-05,1201,"{'rate': 12.6, 'type': 'Hourly'}",0:01:45,55301,,
0.0,2026-02-05T10:00:00,2026-02-05T17:00:00,[],[],16018475,265751,141844,2026-02-05,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:07:00,55301,,
0.0,2026-02-05T09:00:00,2026-02-05T20:00:00,[],[],16018725,262321,141397,2026-02-05,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:11:00,54896,,83216.0
0.0,2026-02-05T12:00:00,2026-02-05T19:00:00,[],[],16018724,247669,141398,2026-02-05,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:07:00,54896,,85099.0
110.8,2026-02-05T10:10:00,2026-02-05T18:10:00,[],[],16018884,248254,141399,2026-02-05,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,,83046.0
