salary,start,end,supplements,breaks,id,employeeId,employeeGroupId,date,salaryCode,wage,shiftDuration,departmentId,shiftTypeId,positionId
140.8083333333338,2026-01-13T11:00:00,2026-01-13T21:10:00,[],[],16017311,249590,141401,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:10:10,55297,,
127.8,2026-01-13T10:00:00,2026-01-13T19:00:00,[],[],16017307,265779,141407,2026-01-13,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:09:00,55297,,
150.0,2026-01-13T11:00:00,2026-01-13T21:00:00,[],[],16017754,265783,141418,2026-01-13,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:10:00,55297,,
114.78333333333343,2026-01-13T14:00:00,2026-01-13T22:05:00,[],[],16017309,247112,141569,2026-01-13,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:08:05,55297,,
0.0,2026-01-13T09:00:00,2026-01-13T18:00:00,[],[],16017749,251262,141853,2026-01-13,Training/ Off Site,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,55297,494010.0,
0.0,2026-01-13T09:00:00,2026-01-13T17:00:00,[],[],16017751,263481,141853,2026-01-13,Training/ Off Site,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,55297,494010.0,
0.0,2026-01-13T09:00:00,2026-01-13T18:00:00,[],[],16017357,262321,141397,2026-01-13,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,,83216.0
0.0,2026-01-13T09:00:00,2026-01-13T18:00:00,[],[],16017358,247145,141397,2026-01-13,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,,83216.0
0.0,2026-01-13T10:00:00,2026-01-13T18:00:00,[],[],16017361,247669,141398,2026-01-13,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,54896,,85099.0
0.0,2026-01-13T09:00:00,2026-01-13T16:00:00,[],[],16017739,265775,141398,2026-01-13,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:07:00,54896,,
96.95,2026-01-13T13:00:00,2026-01-13T20:00:00,[],[],16017518,247111,141399,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,83046.0
110.8,2026-01-13T16:00:00,2026-01-14T00:00:00,[],[],16017519,248037,141399,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,,83046.0
96.95,2026-01-13T17:00:00,2026-01-14T00:00:00,[],[],16017520,247118,141399,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,83046.0
83.1,2026-01-13T18:00:00,2026-01-14T00:00:00,[],[],16017522,248027,141399,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,,83046.0
83.1,2026-01-13T17:00:00,2026-01-13T23:00:00,[],[],16017073,265759,141400,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,,83215.0
96.95,2026-01-13T13:00:00,2026-01-13T20:00:00,[],[],16017125,247107,141400,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,83215.0
83.1,2026-01-13T17:00:00,2026-01-13T23:00:00,[],[],16017133,247108,141400,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,,83215.0
69.25,2026-01-13T16:00:00,2026-01-13T21:00:00,[],[],16017142,265022,141400,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:05:00,54896,,83215.0
96.95,2026-01-13T16:00:00,2026-01-13T23:00:00,[],[],16017144,247129,141400,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,83215.0
124.65,2026-01-13T09:00:00,2026-01-13T18:00:00,[],[],16017400,249006,141401,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:09:00,54896,,82067.0
96.95,2026-01-13T16:00:00,2026-01-13T23:00:00,[],[],16017402,247103,141401,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,82067.0
83.1,2026-01-13T17:00:00,2026-01-13T23:00:00,[],[],16017404,247078,141401,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,,82067.0
96.95,2026-01-13T16:00:00,2026-01-13T23:00:00,[],[],16017452,247094,141401,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,82067.0
96.95,2026-01-13T12:00:00,2026-01-13T19:00:00,[],[],16017634,265792,141402,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,83223.0
150.0,2026-01-13T11:00:00,2026-01-13T21:00:00,[],[],16017362,265793,141403,2026-01-13,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:10:00,54896,,82065.0
120.0,2026-01-13T15:00:00,2026-01-13T23:00:00,[],[],16017365,265774,141403,2026-01-13,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,54896,,82065.0
96.95,2026-01-13T16:00:00,2026-01-13T23:00:00,[],[],16017403,248249,141406,2026-01-13,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,,82066.0
120.0,2026-01-13T11:00:00,2026-01-13T19:00:00,[],[],16017069,247140,141407,2026-01-13,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,54896,,83221.0
127.8,2026-01-13T09:00:00,2026-01-13T18:00:00,[],[],16017450,248110,141415,2026-01-13,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:09:00,54896,,83222.0
135.0,2026-01-13T08:00:00,2026-01-13T17:00:00,[],[],16017356,247075,141416,2026-01-13,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:09:00,54896,,83220.0
